index,origin,source_name,calib_name,sha256
0,cctv-gun/usrt,Cam1-From09-23-00To10-03-25_Segment_0_x264_frame_1.jpg,0000_cctv-gun-usrt_Cam1-From09-23-00To10-03-25_Segment_0_x264_frame_1.jpg,58146c56de2bdfb17bb0f50eca511652024d88873aad75cf00a23beb036ab3f4
1,cctv-gun/usrt,Cam1-From09-23-00To10-03-25_Segment_0_x264_frame_21.jpg,0001_cctv-gun-usrt_Cam1-From09-23-00To10-03-25_Segment_0_x264_frame_21.jpg,2aaafcfecaadbb8f2bfe325168d0ad64a57f06e2318cd97f18a24754c1b7b3e4
2,cctv-gun/usrt,Cam1-From09-23-00To10-03-25_Segment_0_x264_frame_40.jpg,0002_cctv-gun-usrt_Cam1-From09-23-00To10-03-25_Segment_0_x264_frame_40.jpg,c3b94c1499701fc5729442f22b3c1c9742af1709fc84ec8c92acdb958d4de67c
3,cctv-gun/usrt,Cam1-From09-23-00To10-03-25_Segment_0_x264_frame_58.jpg,0003_cctv-gun-usrt_Cam1-From09-23-00To10-03-25_Segment_0_x264_frame_58.jpg,99ceead0784dbb7e3de60960fb492dcac4390ae2be7f96d648d4a15f2a1a8cd9
4,cctv-gun/usrt,Cam1-From09-23-00To10-03-25_Segment_0_x264_frame_77.jpg,0004_cctv-gun-usrt_Cam1-From09-23-00To10-03-25_Segment_0_x264_frame_77.jpg,a9857718a909068f776b978eb0f4c99b9c1cecbb3d06ffcb1174a77a9eab4d33
5,cctv-gun/usrt,Cam1-From09-23-00To10-03-25_Segment_0_x264_frame_96.jpg,0005_cctv-gun-usrt_Cam1-From09-23-00To10-03-25_Segment_0_x264_frame_96.jpg,b1f944d2be8c00d127d26430197558eaec1529eef438be0ec3092b55d0388462
6,cctv-gun/usrt,Cam1-From09-23-00To10-03-25_Segment_0_x264_frame_115.jpg,0006_cctv-gun-usrt_Cam1-From09-23-00To10-03-25_Segment_0_x264_frame_115.jpg,d1166778fdc2df0c3cf2b1f31fbad405146dbd419ae76331eef1adfd49349a47
7,cctv-gun/usrt,Cam1-From09-23-00To10-03-25_Segment_1_x264_frame_1.jpg,0007_cctv-gun-usrt_Cam1-From09-23-00To10-03-25_Segment_1_x264_frame_1.jpg,7480fd2e12c11787403c127badd805afa0df7e3555d8c7eaba9c76e9ae4dc092
8,cctv-gun/usrt,Cam1-From09-23-00To10-03-25_Segment_1_x264_frame_25.jpg,0008_cctv-gun-usrt_Cam1-From09-23-00To10-03-25_Segment_1_x264_frame_25.jpg,ebaae0425bc34c063445742582dfb12f240fbb7c9accf3c3257f92de7ec14b36
9,cctv-gun/usrt,Cam1-From09-23-00To10-03-25_Segment_1_x264_frame_52.jpg,0009_cctv-gun-usrt_Cam1-From09-23-00To10-03-25_Segment_1_x264_frame_52.jpg,9ba1d876c6e1d00d9688469f739c6aca8c76a7c54cf124f76a6d145dbcb13cd5
10,cctv-gun/usrt,Cam1-From09-23-00To10-03-25_Segment_1_x264_frame_76.jpg,0010_cctv-gun-usrt_Cam1-From09-23-00To10-03-25_Segment_1_x264_frame_76.jpg,8154dbf5f42aaa976a65ecc8c3ee034a25ad0f74e6a09a11f80bacd77d67dc76
11,cctv-gun/usrt,Cam1-From09-23-00To10-03-25_Segment_2_x264_frame_6.jpg,0011_cctv-gun-usrt_Cam1-From09-23-00To10-03-25_Segment_2_x264_frame_6.jpg,dd181492bafe156bb821647cf78abc29abe23b0f4d362a9a50dca57b742ad6b0
12,cctv-gun/usrt,Cam1-From09-23-00To10-03-25_Segment_2_x264_frame_27.jpg,0012_cctv-gun-usrt_Cam1-From09-23-00To10-03-25_Segment_2_x264_frame_27.jpg,0a3cc9effd56107b2bf8f214343f1fd4d1f0c889fd90c7f169688df94d809324
13,cctv-gun/usrt,Cam1-From09-23-00To10-03-25_Segment_2_x264_frame_48.jpg,0013_cctv-gun-usrt_Cam1-From09-23-00To10-03-25_Segment_2_x264_frame_48.jpg,59931f3c2529a40d9fe6296679def7a209e6155d6013d1cf5a4eb720d0482e22
14,cctv-gun/usrt,Cam1-From09-23-00To10-03-25_Segment_2_x264_frame_69.jpg,0014_cctv-gun-usrt_Cam1-From09-23-00To10-03-25_Segment_2_x264_frame_69.jpg,898f09c14f9ccb614df6b07240f70e97f4e3c509c857ca8de1dafa4163147260
15,cctv-gun/usrt,Cam1-From09-23-00To10-03-25_Segment_3_x264_frame_1.jpg,0015_cctv-gun-usrt_Cam1-From09-23-00To10-03-25_Segment_3_x264_frame_1.jpg,3c4424d295b51d4b37a63fcb926a339cdb7525a244a6acbd8145afb9dff43b2d
16,cctv-gun/usrt,Cam1-From09-23-00To10-03-25_Segment_3_x264_frame_34.jpg,0016_cctv-gun-usrt_Cam1-From09-23-00To10-03-25_Segment_3_x264_frame_34.jpg,fd9300937371a525b8f2eca924528df83edddd486618df31b55682204ab1c416
